STA	TYPE	START	STOP	LON	LAT	NETID	NATFREQ	DAMPING	SEN	RECSEN	GAIN	COMPONENT	PAZFILE		
BBOO	B	20230701	25990101	136.0588	-32.8102	AU	-12345	-12345	1202.5	400000	1	BHZ	trillium-horizon-120.paz		
BCON	B	20200101	25990101	117.7649	-30.3359	AU	-12345	-12345	1500	1677721.6	1	BHE	cmg-3t-120s.paz		
BCON	B	20200101	25990101	117.7649	-30.3359	AU	-12345	-12345	1500	1677721.6	1	BHN	cmg-3t-120s.paz		
BCON	B	20200101	25990101	117.7649	-30.3359	AU	-12345	-12345	1500	1677721.6	1	BHZ	cmg-3t-120s.paz		
BLDU	S	19991108	20020808	116.7091	-30.6147	AU	-12345	-12345	166.216	3276.8	2000	SHZ	willmore.paz		
BLDU	S	20020808	20021009	116.7091	-30.6147	AU	-12345	-12345	171	3276.8	1000	SHZ	mark-L4C-3D.paz		
BLDU	B	20021025	20030527	116.70911	-30.61469	AU	-12345	-12345	1517.32	3276.8	56.5	BHE	cmg-3t-100s.paz	# BBoxII	
BLDU	B	20021025	20030527	116.70911	-30.61469	AU	-12345	-12345	1517.32	3276.8	56.5	BHN	cmg-3t-100s.paz		
BLDU	B	20021025	20030527	116.70911	-30.61469	AU	-12345	-12345	1517.32	3276.8	56.5	BHZ	cmg-3t-100s.paz		
BLDU	B	20030527	20030619	116.70911	-30.61469	AU	-12345	-12345	1517.32	3276.8	16	BHE	cmg-3t-100s.paz	# GDAS?	
BLDU	B	20030527	20030619	116.70911	-30.61469	AU	-12345	-12345	1517.32	3276.8	16	BHN	cmg-3t-100s.paz		
BLDU	B	20030527	20030619	116.70911	-30.61469	AU	-12345	-12345	1517.32	3276.8	16	BHZ	cmg-3t-100s.paz		
BLDU	B	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	SHE	cmg-3t-100s.paz	# GDAS	
BLDU	B	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	SHN	cmg-3t-100s.paz		
BLDU	B	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	SHZ	cmg-3t-100s.paz		
BLDU	B	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	BHE	cmg-3t-100s.paz	# GDAS	
BLDU	B	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	BHN	cmg-3t-100s.paz		
BLDU	B	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	BHZ	cmg-3t-100s.paz		
BLDU	N	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1	49938	1	HNE	cmg-5t.paz	# GDAS	
BLDU	N	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1	49938	1	HNN	cmg-5t.paz		
BLDU	N	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1	49938	1	HNZ	cmg-5t.paz		
BLDU	H	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	HHE	cmg-3t-100s.paz		
BLDU	H	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	HHN	cmg-3t-100s.paz		
BLDU	H	20030620	20080427	116.70911	-30.61469	AU	-12345	-12345	1517.32	49938	16	HHZ	cmg-3t-100s.paz		
BLDU	B	20080512	25991231	116.70911	-30.61469	AU	-12345	-12345	2098.36	1677721.6	1	BHE	cmg-3t-100s.paz		
BLDU	B	20080512	25991231	116.70911	-30.61469	AU	-12345	-12345	2028.16	1677721.6	1	BHN	cmg-3t-100s.paz		
BLDU	B	20080512	25991231	116.70911	-30.61469	AU	-12345	-12345	2032.4	1677721.6	1	BHZ	cmg-3t-100s.paz		
BLDU	H	20080512	25991231	116.70911	-30.61469	AU	-12345	-12345	2098.36	1677721.6	1	HHE	cmg-3t-100s.paz		
BLDU	H	20080512	25991231	116.70911	-30.61469	AU	-12345	-12345	2028.16	1677721.6	1	HHN	cmg-3t-100s.paz		
BLDU	H	20080512	25991231	116.70911	-30.61469	AU	-12345	-12345	2032.4	1677721.6	1	HHZ	cmg-3t-100s.paz		
CAAN	H	20190823	25990101	121.5129	-19.2643	AU	-12345	-12345	1196.67	400000	1	HHE	trillium-compact-120.paz		
CAAN	H	20190823	25990101	121.5129	-19.2643	AU	-12345	-12345	1196.67	400000	1	HHN	trillium-compact-120.paz		
CAAN	H	20190823	25990101	121.5129	-19.2643	AU	-12345	-12345	1196.67	400000	1	HHZ	trillium-compact-120.paz		
COEN	B	20021103	20030614	143.1749	-13.9574	AU	-12345	-12345	2053.43	3276.8	57.5	SHE	cmg-3esp-120s.paz	# wrong chan code	
COEN	B	20021103	20030614	143.1749	-13.9574	AU	-12345	-12345	1934.07	3276.8	57.5	SHN	cmg-3esp-120s.paz		
COEN	B	20021103	20030614	143.1749	-13.9574	AU	-12345	-12345	2002.85	3276.8	57.5	SHZ	cmg-3esp-120s.paz		
COEN	B	20030614	20080122	143.1749	-13.9574	AU	-12345	-12345	2053.43	49938	4	SHE	cmg-3esp-120s.paz	# wrong chan code	
COEN	B	20030614	20080122	143.1749	-13.9574	AU	-12345	-12345	1934.07	49938	4	SHN	cmg-3esp-120s.paz		
COEN	B	20030614	20080122	143.1749	-13.9574	AU	-12345	-12345	2002.85	49938	4	SHZ	cmg-3esp-120s.paz		
COEN	B	20030614	20080122	143.1749	-13.9574	AU	-12345	-12345	2053.43	49938	4	BHE	cmg-3esp-120s.paz		
COEN	B	20030614	20080122	143.1749	-13.9574	AU	-12345	-12345	1934.07	49938	4	BHN	cmg-3esp-120s.paz		
COEN	B	20030614	20080122	143.1749	-13.9574	AU	-12345	-12345	2002.85	49938	4	BHZ	cmg-3esp-120s.paz		
COEN	B	20080123	25990101	143.1749	-13.9574	AU	-12345	-12345	1494.04	1677721.6	1	BHE	sts2-g3.paz		
